record_type,part_name,time,time_unit,node_id,element_id,n1,n2,n3,n4,x,y,z,dx,dy,dz,stress_max_principal,stress_von_mises,length_unit,stress_unit
NODE,CHASSIS_REAR,30.0,ms,2010,,,,,,0.0,960.0,-35.0,-5.2,0.0,0.0,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2011,,,,,,200.0,960.0,-35.0,0.0,0.0574,2.4492,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2012,,,,,,400.0,960.0,-35.0,0.0,0.1061,4.5255,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2013,,,,,,600.0,960.0,-35.0,0.0,0.1386,5.9128,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2014,,,,,,800.0,960.0,-35.0,0.0,0.15,6.4,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2015,,,,,,1000.0,960.0,-35.0,0.0,0.1386,5.9128,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2016,,,,,,1200.0,960.0,-35.0,0.0,0.1061,4.5255,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2017,,,,,,1400.0,960.0,-35.0,0.0,0.0574,2.4492,,,mm,
NODE,CHASSIS_REAR,30.0,ms,2018,,,,,,1600.0,960.0,-35.0,3.1,0.0,0.0,,,mm,
ELEMENT,CHASSIS_REAR,30.0,ms,,7001,2001,2002,2011,2010,,,,,,,,113.756,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7002,2002,2003,2012,2011,,,,,,,,117.0,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7003,2003,2004,2013,2012,,,,,,,,119.483,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7004,2004,2005,2014,2013,,,,,,,,120.827,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7005,2005,2006,2015,2014,,,,,,,,120.827,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7006,2006,2007,2016,2015,,,,,,,,119.483,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7007,2007,2008,2017,2016,,,,,,,,117.0,,MPa
ELEMENT,CHASSIS_REAR,30.0,ms,,7008,2008,2009,2018,2017,,,,,,,,113.756,,MPa
